Microsoft (R) Windows Script Host Version 5.6
Copyright (C) Microsoft Corporation 1996-2001. All rights reserved.

  Server                                Engine          Def
 ---------------------------------------------------------------
  EBUS0L01              4.4.00          4.0.4725
  EBUS5L01              4.4.00          4.0.4725
  EBUS0107              4.4.00          4.0.4725
  EBUS5107              4.4.00          4.0.4725
  EBUS0250              4.4.00          4.0.4725
  DBSEL0003.rtdom.com           4.4.00          4.0.4725
  DBSEL0005.rtdom.com           4.4.00          4.0.4725
  DBSEL0007.rtdom.com           4.4.00          4.0.4725
  BACEL0001.rtdom.com           4.4.00          4.0.4725
  ADMEL0001.rtdom.com           4.4.00          4.0.4725
  DBSEL5003.rtdom.com           4.4.00          4.0.4725
  DBSEL5005.rtdom.com           4.4.00          4.0.4725
  DBSEL5007.rtdom.com           4.4.00          4.0.4725
  BACEL5001.rtdom.com           4.4.00          4.0.4725
  ADMEL5001.rtdom.com           4.4.00          4.0.4725
  WBIEL0001.rtdom.com           4.4.00          4.0.4725
  WBIEL0002.rtdom.com           4.4.00          4.0.4725
  WBIEL0003.rtdom.com           4.4.00          4.0.4725
  WBIEL0004.rtdom.com           4.4.00          4.0.4725
  WBIEL0005.rtdom.com           4.4.00          4.0.4725
  WBIEL0006.rtdom.com           4.4.00          4.0.4725
  WBIEL0007.rtdom.com           4.4.00          4.0.4725
  WBIEL0008.rtdom.com           4.4.00          4.0.4725
  WBIEL0009.rtdom.com           4.4.00          4.0.4725
  WBIEL0010.rtdom.com           4.4.00          4.0.4725
  WBIEL0011.rtdom.com           4.4.00          4.0.4725
  WBIEL0012.rtdom.com           4.4.00          4.0.4725
  WBIEL0013.rtdom.com           4.4.00          4.0.4725
  WBIEL0014.rtdom.com           4.4.00          4.0.4725
  WBIEL0015.rtdom.com           4.4.00          4.0.4725
  WBIEL0016.rtdom.com           4.4.00          4.0.4725
  WBIEL0017.rtdom.com           4.4.00          4.0.4725
  WBIEL0018.rtdom.com           4.4.00          4.0.4725
  WBIEL0019.rtdom.com           4.4.00          4.0.4725
  WBIEL0020.rtdom.com           4.4.00          4.0.4725
  WBIEL0021.rtdom.com           4.4.00          4.0.4725
  WBIEL0022.rtdom.com           4.4.00          4.0.4725
  WBIEL0023.rtdom.com           4.4.00          4.0.4725
  WBIEL0024.rtdom.com           4.4.00          4.0.4725
  WBIEL0025.rtdom.com           4.4.00          4.0.4725
  WBIEL0026.rtdom.com           4.4.00          4.0.4725
  WBIEL0027.rtdom.com           4.4.00          4.0.4725
  WBIEL0028.rtdom.com           4.4.00          4.0.4725
  WBIEL0029.rtdom.com           4.4.00          4.0.4725
  WBIEL0030.rtdom.com           4.4.00          4.0.4725
  WBIEL5001.rtdom.com           4.4.00          4.0.4725
  WBIEL5002.rtdom.com           4.4.00          4.0.4725
  WBIEL5003.rtdom.com           4.4.00          4.0.4725
  WBIEL5004.rtdom.com           4.4.00          4.0.4725
  WBIEL5005.rtdom.com           4.4.00          4.0.4725
  WBIEL5006.rtdom.com           4.4.00          4.0.4725
  WBIEL5007.rtdom.com           4.4.00          4.0.4725
  WBIEL5008.rtdom.com           4.4.00          4.0.4725
  WBIEL5009.rtdom.com           4.4.00          4.0.4725
  WBIEL5010.rtdom.com           4.4.00          4.0.4725
  WBIEL5011.rtdom.com           4.4.00          4.0.4725
  WBIEL5012.rtdom.com           4.4.00          4.0.4725
  WBIEL5013.rtdom.com           4.4.00          4.0.4725
  WBIEL5014.rtdom.com           4.4.00          4.0.4725
  WBIEL5015.rtdom.com           4.4.00          4.0.4725
  WBIEL5016.rtdom.com           4.4.00          4.0.4725
  WBIEL5017.rtdom.com           4.4.00          4.0.4725
  WBIEL5018.rtdom.com           4.4.00          4.0.4725
  WBIEL5019.rtdom.com           4.4.00          4.0.4725
  WBIEL5020.rtdom.com           4.4.00          4.0.4725
  WBIEL5021.rtdom.com           4.4.00          4.0.4725
  WBIEL5022.rtdom.com           4.4.00          4.0.4725
  WBIEL5023.rtdom.com           4.4.00          4.0.4725
  WBIEL5024.rtdom.com           4.4.00          4.0.4725
  WBIEL5025.rtdom.com           4.4.00          4.0.4725
  WBIEL5026.rtdom.com           4.4.00          4.0.4725
  WBIEL5027.rtdom.com           4.4.00          4.0.4725
  WBIEL5028.rtdom.com           4.4.00          4.0.4725
  WBIEL5029.rtdom.com           4.4.00          4.0.4725
  WBIEL5030.rtdom.com           4.4.00          4.0.4722
